dataset_key,model,test_id,repeats,n_eval_mean,n_ok_mean,fail_rate_mean,changed_rate_mean,sim_mean,inv_mean,drop_acc_mean,drop_acc_std,time_mean,time_std,peak_mb_mean,peak_mb_std
emotion,hf_distilbert,augly_insert_punct,5,400.0,400.0,0.0,1.0,0.4139834818449895,0.33199999999999996,0.588,0.020263884129159464,2.963343,0.04796085935426935,0.9061999999999999,2.0263248012103094
emotion,hf_distilbert,augly_insert_whitespace,5,400.0,400.0,0.0,1.0,0.42536780930196266,0.5745,0.36899999999999994,0.03324154027718935,2.0925246,0.07825190976774939,0.0,0.0
emotion,hf_distilbert,augly_insert_zwsp,5,400.0,400.0,0.0,1.0,0.4405299990563985,1.0,0.0,0.0,0.6225206,0.04578683383681385,0.0,0.0
emotion,hf_distilbert,augly_unicode,5,400.0,400.0,0.0,1.0,0.8448812733214617,0.756,0.19149999999999995,0.01850675552332178,0.770258,0.03553141308054047,0.0,0.0
emotion,sk_tfidf_lr,augly_insert_punct,5,400.0,400.0,0.0,1.0,0.4139834818449895,0.4625,0.43999999999999995,0.01992172181313656,0.0226874,0.012218650694737123,0.9061999999999999,2.0263248012103094
emotion,sk_tfidf_lr,augly_insert_whitespace,5,400.0,400.0,0.0,1.0,0.42536780930196266,0.4625,0.43999999999999995,0.01992172181313656,0.0167016,0.004743056377484881,0.0,0.0
emotion,sk_tfidf_lr,augly_insert_zwsp,5,400.0,400.0,0.0,1.0,0.4405299990563985,0.4625,0.43999999999999995,0.01992172181313656,0.0206194,0.005192625376435315,0.0,0.0
emotion,sk_tfidf_lr,augly_unicode,5,400.0,400.0,0.0,1.0,0.8448812733214617,0.763,0.12349999999999998,0.012820881404958056,0.1149502,0.002426476808049072,0.0,0.0
imdb,hf_distilbert,augly_insert_punct,5,400.0,400.0,0.0,1.0,0.12864022974027173,0.503,0.40099999999999997,0.027984370637911482,4.150573400000001,0.28147635069717664,5.3468,6.73246802443205
imdb,hf_distilbert,augly_insert_whitespace,5,400.0,400.0,0.0,1.0,0.14028939064566978,0.689,0.25199999999999995,0.02458403953787904,3.5896236000000004,0.21178490762398536,0.007200000000000001,0.00819756061276768
imdb,hf_distilbert,augly_insert_zwsp,5,400.0,400.0,0.0,1.0,0.1296697443878907,1.0,0.0,0.0,3.2219977999999996,0.09253363518310513,0.0112,0.004381780460041329
imdb,hf_distilbert,augly_unicode,5,400.0,400.0,0.0,1.0,0.3980645105869524,0.876,0.07599999999999998,0.01112429773064346,3.772974,0.17821600392922063,0.0454,0.09929652561897623
imdb,sk_tfidf_lr,augly_insert_punct,5,400.0,400.0,0.0,1.0,0.12864022974027173,0.497,0.38199999999999995,0.03280624940464855,0.1623294,0.018508932054551393,0.0166,0.005639148871948675
imdb,sk_tfidf_lr,augly_insert_whitespace,5,400.0,400.0,0.0,1.0,0.14028939064566978,0.497,0.38199999999999995,0.03280624940464855,0.2010498,0.063176937637084,0.007200000000000001,0.00819756061276768
imdb,sk_tfidf_lr,augly_insert_zwsp,5,400.0,400.0,0.0,1.0,0.1296697443878907,0.497,0.38199999999999995,0.03280624940464855,0.19816620000000001,0.06196090778224606,0.0112,0.004381780460041329
imdb,sk_tfidf_lr,augly_unicode,5,400.0,400.0,0.0,1.0,0.3980645105869524,0.923,0.03399999999999992,0.011805718953117567,0.8679933999999999,0.20609858784038282,0.035199999999999995,0.07649313694704905
sst2,hf_distilbert,augly_insert_punct,5,400.0,400.0,0.0,1.0,0.31084149364532354,0.47750000000000004,0.4055000000000001,0.015145131230860951,2.9233836,0.23819179924863074,0.403,0.6610620243214701
sst2,hf_distilbert,augly_insert_whitespace,5,400.0,400.0,0.0,1.0,0.3704288499823286,0.6950000000000001,0.24900000000000003,0.017193748864049403,1.6638074,0.047562527984748755,0.022,0.030124740662784137
sst2,hf_distilbert,augly_insert_zwsp,5,400.0,400.0,0.0,1.0,0.38038346466984085,1.0,0.0,0.0,0.5844352,0.11933023165652534,0.0,0.0
sst2,hf_distilbert,augly_unicode,5,400.0,400.0,0.0,1.0,0.8381224630188473,0.8185,0.08949999999999998,0.013157697366940781,0.6326112,0.02394711172980995,0.0132,0.029516097302997226
sst2,sk_tfidf_lr,augly_insert_punct,5,400.0,400.0,0.0,1.0,0.31084149364532354,0.545,0.303,0.011096170510586074,0.0443312,0.03150008048719876,0.0024000000000000002,0.0035777087639996636
sst2,sk_tfidf_lr,augly_insert_whitespace,5,400.0,400.0,0.0,1.0,0.3704288499823286,0.545,0.303,0.011096170510586074,0.0187806,0.006531793191765949,0.0,0.0
sst2,sk_tfidf_lr,augly_insert_zwsp,5,400.0,400.0,0.0,1.0,0.38038346466984085,0.545,0.303,0.011096170510586074,0.0473014,0.03854224716852923,0.0,0.0
sst2,sk_tfidf_lr,augly_unicode,5,400.0,400.0,0.0,1.0,0.8381224630188473,0.8370000000000001,0.05699999999999998,0.020796634343085395,0.12809759999999998,0.011635880297596744,0.0132,0.029516097302997226
